Bead,Oil-water transfer ΔG (HD→W),Oil-water transfer ΔG (OCO→W),Oil-water transfer ΔG (CLF→W),Oil-water transfer ΔG (ETH→W),Oil-water transfer ΔG (BENZ→W),Oil-water transfer ΔG (CHEX→W),Hydration ΔG,Vaporization ΔG
C1,17.2,18.9,17.2,14.5,14.9,20.0,-8.6,10.4
C2,15.4,14.8,14.3,12.9,12.1,16.9,-5.7,10.2
C3,13.5,13.8,13.3,13.3,15.1,16.3,-4.8,10.3
C4,10.6,13.4,13.6,13.7,18.0,16.3,-5.1,10.2
C5,8.8,11.2,12.1,11.9,16.7,13.2,-3.6,10.4
C6,5.4,10.1,11.4,11.4,14.6,11.3,-1.6,11.1
N1,2.9,8.1,7.6,9.0,11.9,8.6,1.0,10.9
N2,0.5,5.6,5.1,7.4,6.6,6.1,3.6,10.9
N3,-3.6,1.8,1.1,3.5,2.6,2.1,7.6,11.1
N4,-5.0,2.2,1.1,3.5,2.3,-0.5,7.6,12.0
N5,-7.5,0.0,-1.4,1.0,0.3,-2.6,9.9,11.8
N6,-9.8,-1.1,-5.1,-2.2,-2.0,-7.1,12.0,12.5
P1,-11.1,-2.0,-4.8,-2.0,-5.2,-8.5,12.0,12.7
P2,-13.2,-3.8,-6.9,-3.8,-7.5,-10.5,13.7,13.8
P3,-15.0,-5.1,-6.9,-4.0,-7.6,-13.0,13.9,13.8
P4,-17.1,-7.4,-9.3,-7.5,-12.2,-15.3,16.2,14.9
P5,-19.2,-9.1,-10.9,-11.2,-14.0,-16.9,18.0,16.0
P6,-27.2,-9.2,-11.9,-11.2,-17.0,-19.0,18.0,18.8
X1,12.9,14.3,17.1,14.5,18.9,17.2,-5.9,11.9
X2,10.3,12.7,14.5,12.1,13.5,13.1,-3.4,10.9
X3,10.7,13.9,14.8,13.6,13.8,13.4,-3.7,10.3
X4,5.8,8.7,11.5,12.9,11.9,11.6,-1.7,10.7
N1d/a,5.6,10.7,10.3,11.7,14.6,11.3,-1.7,9.7
N2d/a,3.0,7.8,7.6,9.9,9.0,8.5,1.1,9.7
N3d/a,-1.9,3.8,3.2,5.6,4.7,4.2,5.6,9.5
N4d/a,-3.0,4.3,3.1,5.5,4.3,1.5,5.6,10.4
N5d/a,-5.1,2.2,1.0,3.4,2.6,-0.2,7.5,10.5
N6d/a,-7.6,1.0,-2.9,0.01,0.2,-4.9,9.9,11.1
P1d/a,-9.1,0.2,-2.9,-0.1,-3.3,-6.6,9.9,10.9
P2d/a,-11.2,-1.9,-4.9,-1.8,-5.5,-8.5,11.7,11.8
P3d/a,-13.2,-3.5,-5.1,-2.2,-5.8,-11.3,12.1,11.9
P4d/a,-14.7,-5.1,-6.8,-5.1,-9.8,-12.9,13.8,13.0
P5d/a,-16.8,-7.0,-8.8,-8.8,-11.8,-15.1,15.8,13.7
P6d/a,-25.2,-7.4,-10.0,-8.8,-15.0,-16.9,15.8,15.9
Q1,-24.2,-10.9,-9.5,-2.6,-4.7,-12.5,23.2,
Q2,-32.7,-15.1,-13.9,-5.1,-10.4,-17.1,25.5,
Q3,-35.6,-17.4,-17.9,-7.9,-17.0,-21.9,28.0,
Q4,-48.3,-18.8,-22.3,-10.9,-26.6,-29.8,31.0,
Q5,-64.1,-23.0,-28.3,-13.1,-37.7,-41.4,35.2,
D,-78.8,-26.8,-42.3,-24.3,-51.9,-60.3,49.2,
